outcome,D_A,D_I,lambda,w_star,interpretation
usefulness,0.660276,-0.578645,1.000000,0.467055880,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,1.050000,0.454933182,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,1.100000,0.443423866,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,1.150000,0.432482527,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,1.200000,0.422068134,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,1.250000,0.412143514,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,1.300000,0.402674912,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,1.350000,0.393631603,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,1.400000,0.384985563,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,1.450000,0.376711177,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,1.500000,0.368784985,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,1.550000,0.361185462,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,1.600000,0.353892821,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,1.650000,0.346888841,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,1.700000,0.340156715,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,1.750000,0.333680918,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,1.800000,0.327447082,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,1.850000,0.321441897,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,1.900000,0.315653007,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,1.950000,0.310068935,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,2.000000,0.304678999,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,2.050000,0.299473248,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,2.100000,0.294442400,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,2.150000,0.289577785,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,2.200000,0.284871299,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,2.250000,0.280315355,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,2.300000,0.275902843,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,2.350000,0.271627095,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,2.400000,0.267481849,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,2.450000,0.263461222,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,2.500000,0.259559676,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,2.550000,0.255771998,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,2.600000,0.252093275,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,2.650000,0.248518872,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,2.700000,0.245044414,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,2.750000,0.241665768,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,2.800000,0.238379023,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,2.850000,0.235180480,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,2.900000,0.232066636,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,2.950000,0.229034171,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,3.000000,0.226079935,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,3.050000,0.223200941,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,3.100000,0.220394348,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,3.150000,0.217657462,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,3.200000,0.214987715,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,3.250000,0.212382668,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,3.300000,0.209839997,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,3.350000,0.207357488,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,3.400000,0.204933031,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,3.450000,0.202564613,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,3.500000,0.200250313,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,3.550000,0.197988297,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,3.600000,0.195776814,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,3.650000,0.193614189,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,3.700000,0.191498820,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,3.750000,0.189429175,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,3.800000,0.187403788,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,3.850000,0.185421254,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,3.900000,0.183480227,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,3.950000,0.181579417,aggregate tie boundary on declared relative scale
usefulness,0.660276,-0.578645,4.000000,0.179717587,aggregate tie boundary on declared relative scale
